PCO_NUM,PCO_TITLE,PCO_LINK,PCO_DESC,PCO_AUTHOR,PCO_METHOD,PCO_LENGTH,PCO_TAG
1,The 50/30/20 Budget Framework,https://www.nerdwallet.com/article/finance/how-to-budget,Follow this simple budget to manage your money better,Nerdwallet,Article,3 min,Budgeting
2,Best Budget Apps,https://www.nerdwallet.com/article/finance/best-budget-apps?trk_channel=web&trk_copy=The%208%20Best%20Budget%20Apps%20for%202022&trk_element=hyperlink&trk_elementPosition=2&trk_location=PostList&trk_subLocation=next-steps,This article will show you various tools and resources for you to make budgeting easier,Nerdwallet,Article,3 min,Budgeting
3,How to Budget in 7 Simple Steps,https://www.forbes.com/advisor/banking/how-to-budget-simple-steps/,Budgeting is simple. Learn how to manage your money in just 5 minutes better,Forbes,Article,5 min,Budgeting
4,Benefits of Budgeting,https://www.investopedia.com/articles/pf/06/budgeting.asp,Budgeting is one of the earliest steps in achieving financial freedom. Learn the many more benefits budgeting provides to one's life,Investopedia,Article,3 min,Budgeting
5,Is Budgeting Hard?,https://www.youtube.com/watch?v=ZRTM7fm3w-w,Watch Dave Ramsey debunk the myth that budgeting is tricky and no fun here,The Ramsey Show,Video,10 min,Budgeting
6,Budgeting Mistakes to Avoid,https://www.youtube.com/watch?v=BIa6OFLPRE8,Daniel shows you some of his past budgeting mistakes so you can learn from his mistakes and avoid them with your budget,Daniel Braun,Video,14 min,Budgeting
7,Budgeting as a Couple,https://www.youtube.com/watch?v=YU8XmuTwXu8,Are you in a relationship? Watch this video to learn how to budget with another person,The Money Guy Show,Video,10 min,Budgeting
8,The Main Types Of Debt And How To Handle Each,https://www.forbes.com/advisor/debt-relief/types-of-debt/,"Learn about different types of debt, the advantages and disadvantages of each, and tips on how to handle them if you find yourself with debt",Forbes,Article,4 min,Debt
9,Understanding Debt,https://www.nerdwallet.com/uk/personal-finance/types-of-debt/,Learn what sorts of debt you may be carrying currently and how they work,Nerdwallet,Article,5 min,Debt
10,The Biden-Harris Administration's Student Debt Relief Plan Explained,https://studentaid.gov/debt-relief-announcement/,Learn if you qualify for the Student Debt Relief Plan,Federal Student Aid,Article,4 min,Debt
11,See How Average Student Loan Debt Has Changed,https://www.usnews.com/education/best-colleges/paying-for-college/articles/see-how-student-loan-borrowing-has-changed,"The average student loan debt is $30,000",US News,Article,5 min,Debt
12,6 Ways to Pay Off Student Loans Fast,https://www.forbes.com/advisor/student-loans/pay-off-student-loans-fast/,Do you have student loan debt? Learn how to pay off your debt in a way that works with your current lifestyle and future goals,Forbes,Article,4 min,Debt
13,Should You Pay Off Student Loans or Invest?,https://www.youtube.com/watch?v=y0l6s3DKWaY,The Money Guys Shows dives deep into how student loans can impact your life,The Money Guy Show,Video,7 min,Debt
14,Kevin O'Leary's Top Tip For Paying Off Student Loans,https://www.youtube.com/watch?v=jzQsWSEVKkE,Entrepreneur Kevin O'Leary shares his tips for paying off student loans,CNBC,Video,2 min,Debt
15,How To Pay For College (The Right Way),https://www.youtube.com/watch?v=Hh9Ior8GLFo,Dave Ramsey and others share their insights on how to pay for your education the right way,The Ramset Show,Video,8 min,Money Mindset
16,How to Get Out of Credit Card Debt in 4 Steps,https://www.nerdwallet.com/article/finance/credit-card-debt,Are you in Credit Card Debt? Learn how to minimize your debt,Nerdwallet,Article,4 min,Debt
17,2022 Credit Card Debt Statistics,https://www.lendingtree.com/credit-cards/credit-card-debt-statistics/,Do you want to be above average with your finances? Learn about the relationship most Americans have with credit card debt,Lending Tree,Article,5 min,Debt
18,Dave Ramsey: How to invest for beginners,https://youtu.be/hmcDbvGXA6U,Learn about Dave Ramsey's Mutual Fund investing strategy,Freenvesting,Video,10 min,Investing
19,Warren Buffett: How You Should Invest in 2022,https://youtu.be/1Hxy2NBD7J8,Warren Buffett shares his tips on how he became so wealthy and successful,New Money,Video,15 min,Investing
20,Good Debt vs. Bad Debt: What's the Difference?,https://www.investopedia.com/articles/pf/12/good-debt-bad-debt.asp,"Is all debt terrible? Well, some debt can be good. Learn how here",Investopedia,Article,3 min,Debt
21,What is a credit card?,https://www.cnbc.com/select/what-is-a-credit-card/,"Familiarize yourself with what a credit card is, so you can benefit from using one",CNBC,Article,4 min,Credit
22,Why Nearly Every Purchase Should Be on a Credit Card,https://www.nerdwallet.com/article/credit-cards/why-every-purchase-should-be-on-a-credit-card,Responsible credit card use can be amazing for your financial health,Nerdwallet,Article,4 min,Credit
23,10 Reasons to Use Your Credit Card,https://www.investopedia.com/articles/pf/10/credit-card-debit-card.asp,Learn about some responsible credit card uses and the benefits they could bring to your life,Investopedia,Article,5 min,Credit
24,The 7 Best Credit Cards of 2022,https://www.youtube.com/watch?v=4fhIkd1dR-g,Take a deep dive into some of the best credit cards and strategies on how to use them successfully,Daniel Braun,Video,17 min,Credit
25,How Credit Card Rewards Work and the tricks people use to get the most out of them,https://www.youtube.com/watch?v=5gP01ttODxc,Rewards are an attractive aspect of choosing credit cards over debit cards. Learn more here,CNBC Television,Video,3 min,Credit
26,10 Different Types of Credit Cards,https://www.bankrate.com/finance/credit-cards/different-types-of-credit-cards/,Learn about the different types of credit cards and which one is best for you,Bank Rate,Article,5 min,Credit
27,The 5 Best Credit Cards for Beginners in 2022,https://www.youtube.com/watch?v=1LzGIafwgTc,Graham shares his opinions on the best credit cards to use while beginning your financial journey,Graham Stephan,Video,15 min,Credit
28,6 Credit Card MISTAKES To Avoid As A Beginner,https://www.youtube.com/watch?v=LA7WMgow9qI,Learn how to avoid these mistakes as you begin your journey with credit cards,Daniel Braun,Video,15 min,Credit
29,"Credit Score: Definition, Factors, and Improving it",https://www.investopedia.com/terms/c/credit_score.asp,Learn about your credit score and what it means for your financial future,Investopedia,Video,5 min,Credit
30,What is a Credit Score? Kal Penn Explains,https://www.youtube.com/watch?v=f2ortkJfTKw,Kal Penn teaches you the basics of a credit score,Mashable,Video,3 min,Credit
31,How to Build Credit and Improve Your Credit Score,https://www.youtube.com/watch?v=eghPxmv4uYw,Learn how to improve your credit score and use credit to benefit your life,Bank of America,Video,5 min,Credit
32,5 Dangers of Using Credit Cards - And How You Can Avoid Them,https://www.creditkarma.com/credit-cards/i/dangers-of-credit-cards,Using credit cards can be dangerous but learn about those dangers and how to avoid them,Credit Karma,Article,3 min,Credit
33,Why It's Important To Open a Credit Card At Age 18,https://www.cnbc.com/select/whats-the-best-age-for-first-credit-card/,Learn what the best age is to open up a credit card,CNBC Television,Article,3 min,Credit
34,How Wealthy People Use Credit Cards Differently Than You,https://www.youtube.com/watch?v=r_ry4pfeMDc,What are the tips that wealthy people use while using credit cards?,The Money Guy Show,Video,5 min,Credit
35,How Many Credit Cards Should I Have?,https://www.nerdwallet.com/article/finance/how-many-credit-cards,Understand how multiple credit cards can impact your life,Nerdwallet,Article,3 min,Credit
36,Making The Most of Credit Card Management Apps,https://www.uthrive.club/making-the-most-of-credit-card-management-apps/,View different apps and resources to make managing your credit cards easier,UThrive,Article,2 min,Credit
37,Insurance for Beginners: What You Need to Know,https://www.ramseysolutions.com/insurance/basic-insurance-policies-everyone-needs,Take a look into the different kinds of insurance and why they may be essential for you,Ramsey Solutions,Article,8 min,Insurance
